,year,lat1,long1,lat2,long2
0,2017,35.45211,44.375465000000005,35.45211,44.375465000000005
1,2017,37.966024,23.663207,37.969891,23.642225
2,2017,34.763144,44.570659,34.208416,43.890713
3,2017,35.465576,44.380392,34.208416,43.890713
4,2017,35.465576,44.380392,34.763144,44.570659
5,2017,31.506981,34.718903999999995,31.506981,34.718903999999995
6,2017,31.484053000000003,34.533436,31.506981,34.718903999999995
8,2017,-1.595245,40.514259,-1.595245,40.514259
14,2017,29.831976,31.337257,29.831976,31.337257
15,2017,37.293709,43.671189,37.293709,43.671189
16,2017,18.561113,80.920395,18.561113,80.920395
17,2017,-2.365494,40.320879,-2.365222,40.321055
18,2017,34.152646000000004,69.075281,34.21548,69.102313
19,2017,6.256184999999999,101.556637,6.268579,101.58221800000001
20,2017,23.966667,97.9,23.897145000000002,98.04022900000001
21,2017,52.50153,13.401851,52.50153,13.401851
22,2017,35.381884,43.941902,35.348876000000004,44.078410999999996
23,2017,40.262772,-76.881107,40.261864,-76.880913
24,2017,11.099396,14.096603,11.132622999999999,14.060433999999999
25,2017,36.201721,37.14352,36.201721,37.14352
26,2017,28.919873,69.170866,29.007902,69.016402
27,2017,7.172751,124.22966399999999,7.172751,124.22966399999999
28,2017,33.930061,44.800024,33.930061,44.800024
29,2017,28.46681,68.274078,28.46681,68.274078
30,2017,-1.787637,28.893027000000004,-1.743602,28.984892
31,2017,-2.203702,28.818895,-1.743602,28.984892
32,2017,-2.203702,28.818895,-1.787637,28.893027000000004
33,2017,0.34566399999999997,29.714570000000002,0.34566399999999997,29.714570000000002
34,2017,35.075136,62.888237,35.075136,62.888237
35,2017,31.60063,64.369652,31.60063,64.369652
36,2017,34.32183,44.479528,34.32183,44.479528
38,2017,18.454174,1.409692,18.454174,1.409692
44,2017,36.206464000000004,65.05819,36.206464000000004,65.05819
45,2017,9.295933999999999,125.960453,9.295933999999999,125.960453
46,2017,37.153976,69.43451800000001,37.340408000000004,69.54712099999999
48,2017,37.153976,69.43451800000001,37.153976,69.43451800000001
67,2017,37.153925,69.43429499999999,37.340408000000004,69.54712099999999
68,2017,37.153925,69.43429499999999,37.153976,69.43451800000001
74,2017,36.060707,41.260052,36.060707,41.260052
75,2017,9.680242,125.503993,9.71623,125.504322
76,2017,7.0171,124.175444,7.0425,124.169444
77,2017,7.01,124.1625,7.0425,124.169444
78,2017,7.01,124.1625,7.0171,124.175444
79,2017,31.630932,64.258698,31.511396,64.111862
80,2017,35.272420000000004,43.92025,35.428684000000004,44.169233
81,2017,9.40217,11.91427,9.399047999999999,11.915673
82,2017,9.374888,12.093306,9.399047999999999,11.915673
83,2017,9.374888,12.093306,9.40217,11.91427
84,2017,1.126982,34.584322,1.126982,34.584322
85,2017,27.653347999999998,82.993155,27.653347999999998,82.993155
86,2017,34.417122,70.44959300000001,34.417122,70.44959300000001
87,2017,10.612148,12.19127,10.612148,12.19127
88,2017,2.059819,45.326115,2.059819,45.326115
89,2017,36.354145,43.143570000000004,36.354145,43.143570000000004
90,2017,19.464848,0.8563930000000001,18.442701,1.411332
91,2017,20.252066,0.981526,18.442701,1.411332
92,2017,20.252066,0.981526,19.464848,0.8563930000000001
93,2017,18.442701,1.411332,18.442701,1.411332
94,2017,18.442701,1.411332,19.464848,0.8563930000000001
95,2017,18.442701,1.411332,20.252066,0.981526
97,2017,32.953013,65.4857,33.33766,66.284319
98,2017,32.924223,66.144692,33.33766,66.284319
99,2017,32.924223,66.144692,32.953013,65.4857
100,2017,32.61797,65.872375,33.33766,66.284319
101,2017,32.61797,65.872375,32.953013,65.4857
102,2017,32.61797,65.872375,32.924223,66.144692
103,2017,-2.325307,40.33128,-2.325307,40.33128
104,2017,35.967332,65.393945,36.064184999999995,65.52248399999999
105,2017,35.98587,65.394154,36.064184999999995,65.52248399999999
106,2017,35.98587,65.394154,35.967332,65.393945
107,2017,6.828889,31.383056,7.485751,31.514357
108,2017,31.126646,33.800865,31.126646,33.800865
109,2017,14.039439999999999,-2.760368,13.93246,-2.6114509999999997
110,2017,19.496653,80.276765,19.496653,80.276765
111,2017,42.916667,20.683332999999998,42.916667,20.683332999999998
112,2017,29.623548,80.860838,29.623548,80.860838
113,2017,29.464525,81.02741800000001,29.623548,80.860838
115,2017,29.719862,81.22283,29.623548,80.860838
117,2017,29.719862,81.22283,29.464525,81.02741800000001
118,2017,28.668043,82.414948,28.595475,82.629545
119,2017,32.893208,67.766917,32.893208,67.766917
120,2017,-1.224782,29.479214000000002,-1.240543,29.465089000000003
121,2017,8.349357000000001,30.139267999999998,8.29929,30.146694
123,2017,9.44786,12.037818,9.44786,12.037818
124,2017,9.453814999999999,11.866361999999999,9.44786,12.037818
126,2017,9.443239,12.013277,9.44786,12.037818
128,2017,9.443239,12.013277,9.453814999999999,11.866361999999999
